Model,Vehicle Type,Base Price,Dest. Charge,Tax Credit,Effective Price,Drive,Battery (kWh),EPA Range (mi),0-60 mph (sec),Top Speed (mph),GVWR
"2022 Hyundai Ioniq 5 SE AWD 19""",SUV,"$47,150","$1,225","$7,500","$40,875",AWD,77.4,256,5,115,
"2022 Hyundai Ioniq 5 SEL RWD 19""",SUV,"$45,900","$1,225","$7,500","$39,625",RWD,77.4,303,,115,
"2022 Hyundai Ioniq 5 SEL AWD 19""",SUV,"$49,400","$1,225","$7,500","$43,125",AWD,77.4,256,5,115,
"2022 Hyundai Ioniq 5 Limited RWD 19""",SUV,"$50,600","$1,225","$7,500","$44,325",RWD,77.4,303,,115,
"2022 Hyundai Ioniq 5 Limited AWD 20""",SUV,"$54,500","$1,225","$7,500","$48,225",AWD,77.4,256,5,115,
2021 Hyundai IONIQ Electric,Sedan,"$33,245","$1,005","$7,500","$26,750",FWD,38.3,170,10,102,
2022 Hyundai Kona Electric,SUV,"$34,000","$1,185","$7,500","$27,685",FWD,64,258,7.9,104,
2022 Jaguar I-PACE EV400,SUV,"$69,900","$1,150","$7,500","$63,550",AWD,90,234,4.5,124,
"2022 Kia EV6 Light RWD SR 19""",SUV,"$40,900","$1,215","$7,500","$34,615",RWD,58,232,8,115,
"2022 Kia EV6 Wind RWD LR 19""",SUV,"$47,000","$1,215","$7,500","$40,715",RWD,77.4,310,7.2,115,
"2022 Kia EV6 Wind AWD LR 19""",SUV,"$50,900","$1,215","$7,500","$44,615",AWD,77.4,274,5.1,117,
"2022 Kia EV6 GT-Line RWD LR 19""",SUV,"$51,200","$1,215","$7,500","$44,915",RWD,77.4,310,7.2,115,
"2022 Kia EV6 GT-Line AWD LR 19""",SUV,"$55,900","$1,215","$7,500","$49,615",AWD,77.4,274,5.1,117,
"2022 Kia EV6 First Edition AWD LR 20""",SUV,"$58,500","$1,215","$7,500","$52,215",AWD,77.4,265,5.1,117,
2022 Kia Niro EV,SUV,"$39,990","$1,175","$7,500","$33,665",FWD,64,239,7.5,104,
"2022 Lucid Air Dream Edition Performance 19""",Sedan,"$169,000","$1,500","$7,500","$163,000",AWD,118,471,2.5,168,
"2022 Lucid Air Dream Edition Performance 21""",Sedan,"$169,000","$1,500","$7,500","$163,000",AWD,118,451,2.42,168,
"2022 Lucid Air Dream Edition Range 19""",Sedan,"$169,000","$1,500","$7,500","$163,000",AWD,118,520,2.7,168,
"2022 Lucid Air Dream Edition Range 21""",Sedan,"$169,000","$1,500","$7,500","$163,000",AWD,118,481,2.74,168,
"2022 Lucid Air Grand Touring 19""",SUV,"$139,000","$1,500","$7,500","$133,000",AWD,112,516,3,168,
"2022 Lucid Air Grand Touring 21""",SUV,"$139,000","$1,500","$7,500","$133,000",AWD,112,469,3,168,
2022 Mazda MX-30,SUV,"$33,470","$1,175","$7,500","$27,145",FWD,35.5,100,,87,
"2022 Mercedes EQS 450+ (RWD; 20"")",Sedan,"$102,310","$1,050","$7,500","$95,860",RWD,115,350,5.9,130,
"2022 Mercedes EQS 580 4MATIC (AWD; 21"")",Sedan,"$119,110","$1,050","$7,500","$112,660",AWD,115,340,4.1,130,
